Course Code,Course Name,Credits,Prerequisites,Description,Type,Status
CIS 5040,Information Systems,3,None," Overview of computer, communication and software systems. Cases in: business applications of information technology, managing the acquisition and use of application systems, and working with the information systems organization.",Core,In progress
CIS 5850,Communication and Information Services,3,CIS 5040,"Computer communication technologies and trends; communication theory, hardware, software, architectures, services and security.",core,Not Started
CIS 5900,MSIS CAPSTONE:INFORMATION SYSTEMS,3,CIS 5040 AND CIS 5850," This course examines the strategic perspective for aligning organizational strategy, core competencies, information systems, technology, and the CEO and CIO’s partnership roles. The course assesses students’ leadership and technical skills. ",Core,Not Started
BUS 5960,COMPREHENSIVE EXAMINATION,0,Advancement to Candidacy,See the Comprehensive Examination under the University Requirements for Master’s Degree in this eCatalog.,Comprehensive exam,Not Started
CIS 5100,IS/IT Architectures,3,None," Deep understanding and analysis of contemporary information technology architectures and environments, more specifically the client/server architectures, business/enterprise systems, workgroup, and personal systems supporting operational business processes.",Required Course,In progress
CIS 5200,System Analysis and Design,3,None,"Life cycle of systems development; UML modeling techniques; data modeling; process modeling; enterprise system integration, configuration, installation and maintenance; a case-based approach with hands-on experience in designing information systems.",Required Course,In progress
CIS 5610,Design of an E-Commerce SIte,3,Basic Knowledge of HTML OR XML," Analysis, development, and design of a web-based e-commerce site model for an actual business. Team projects incorporate web design, electronic transfer processing, and site development/maintenance.",Elective,Not Started
CIS 5620,Authoring Websites,3,Knowledge of Programming language,"Hands-on course in designing and developing World Wide Web sites using HTML, CSS, JavaScript, and other technologies, with emphasis on usability.",Elective,Not Started
CIS 5630,Mobile Applications,3,Knowledge of Programming language,"Hands-on course in designing and developing applications suitable for mobile devices, with emphasis on utility and usability.",Elective,Not Started
CIS 5210,Healthcare Data Analytics,3,None,Students learn about Healthcare Data Analytics; analytic challenges on dealing with healthcare data; data-driven decisions for healthcare; hands-on experience to apply BI skills for healthcare data.,Elective,Not Started
CIS 5250,Visual Analytics,3,None,Students learn about Visual Analytics; performing data analysis using BI visualization tools; applying principles of data visualization; best practices of data presentation and storytelling; dashboard creation techniques; hands-on experience building dashboards in BI.,Elective,Not Started
CIS 5270,Business Intelligence,3,None,"Framework for Business Intelligence, data wrangling, data mining, natural language processing, dashboards, business performance management, decision-making models, business intelligence technologies and emerging trends.",Elective,Not Started
CIS 5320,Data Integration and Analysis in ERP systems,3,None,"Students learn about data modeling, integration, visualization, information view and report development using enterprise system simulation games in ERPsim and real-time data analytical tools in ERP cloud computing environment.",Elective,Not Started
CIS 5430,Databases and Data Warehousing,3,None, Enterprise Database concepts; comparison of relational and object-relational data modeling using UML; principles of data warehousing and data mining; database and data warehouse administration and development tools; case study projects.,Elective,Not Started
CIS 5560,Introduction to Big Data Science,3,None,"This is to learn practical knowledge of Big Data and Data Science and to study how to process, store, and analyze Big Data generated from social media, web logs, financial data, marketing data etc for business intelligence using scalable computing systems in cloud computing: Spark, MapReduce and NoSQL DB with the examples in the labs.",Elective,Not Started
